iteration,test_split,batch,epoch,layer,dropout,activation,initializer,rmse,accuracy,f_score,time_train,lag
216,0.2,128,50,1,0,sigmoid,zero,,0.6378326688061202,0.28744329417189396,296.91604590415955,13
217,0.2,128,50,1,0,sigmoid,uniform,,0.8508995429349412,0.8036751967050692,259.75250458717346,13
218,0.2,128,50,1,0,sigmoid,normal,,0.848046938312425,0.7992294114295911,270.61506628990173,13
219,0.2,128,50,1,0.2,sigmoid,zero,,0.866183668838536,0.8243163448216467,318.98941230773926,13
220,0.2,128,50,1,0.2,sigmoid,uniform,,0.8672825699374371,0.8254173098345979,266.4462592601776,13
221,0.2,128,50,1,0.2,sigmoid,normal,,0.8683847126325003,0.8270222265572649,300.0214886665344,13
222,0.2,128,50,1,0.4,sigmoid,zero,,0.8712859411974456,0.8307200067096918,315.97101378440857,13
223,0.2,128,50,1,0.4,sigmoid,uniform,,0.871726798275471,0.8311007433847488,265.2035903930664,13
224,0.2,128,50,1,0.4,sigmoid,normal,,0.874132062627638,0.8343990807767832,338.86450457572937,13
225,0.2,128,50,2,0,sigmoid,zero,,0.6407922461019807,0.2941869274531315,301.8593349456787,13
226,0.2,128,50,2,0,sigmoid,uniform,,0.8348179843755064,0.7817231457493088,326.2561845779419,13
227,0.2,128,50,2,0,sigmoid,normal,,0.8333009173717139,0.7787073549707856,315.46382761001587,13
228,0.2,128,50,2,0.2,sigmoid,zero,,0.8609452494408248,0.8170568336860704,361.3952522277832,13
229,0.2,128,50,2,0.2,sigmoid,uniform,,0.8571007163927519,0.8117599840648305,331.4984292984009,13
230,0.2,128,50,2,0.2,sigmoid,normal,,0.8583616972997506,0.8137037747701685,366.78428983688354,13
231,0.2,128,50,2,0.4,sigmoid,zero,,0.8635547343511947,0.8203023926420674,337.47250032424927,13
232,0.2,128,50,2,0.4,sigmoid,uniform,,0.8635514927550326,0.8200860737029112,380.90073895454407,13
233,0.2,128,50,2,0.4,sigmoid,normal,,0.8663943725890627,0.8239895853975606,356.8001923561096,13
234,0.2,128,50,3,0,sigmoid,zero,,0.625806347045285,0.27251124530793563,364.92121291160583,13
235,0.2,128,50,3,0,sigmoid,uniform,,0.8084475995980422,0.7450616731176506,302.3201336860657,13
236,0.2,128,50,3,0,sigmoid,normal,,0.8037278355862425,0.7356401625687994,277.5130500793457,13
237,0.2,128,50,3,0.2,sigmoid,zero,,0.8374209860935525,0.785289743301421,295.30726289749146,13
238,0.2,128,50,3,0.2,sigmoid,uniform,,0.8397257609646991,0.7893020073392139,307.9130709171295,13
239,0.2,128,50,3,0.2,sigmoid,normal,,0.8382216603455542,0.7870361949322956,293.0742163658142,13
240,0.2,128,50,3,0.4,sigmoid,zero,,0.8280884307432981,0.7618471142028167,313.3840365409851,13
241,0.2,128,50,3,0.4,sigmoid,uniform,,0.8335148627184027,0.771465236769858,292.0283052921295,13
242,0.2,128,50,3,0.4,sigmoid,normal,,0.8362215955136308,0.7781638767929114,376.6021282672882,13
243,0.2,32,100,1,0,selu,zero,,0.6117896852410126,0.23572594127662025,975.5469281673431,13
244,0.2,32,100,1,0,selu,uniform,,0.5909300139388636,0.05952979170936475,990.4360318183899,13
245,0.2,32,100,1,0,selu,normal,,0.5840545884793673,0.028330033472244682,985.2591161727905,13
246,0.2,32,100,1,0.2,selu,zero,,0.6117896852410126,0.23572594127662025,1055.105388879776,13
247,0.2,32,100,1,0.2,selu,uniform,,0.5803332360854485,0.0,1161.2503669261932,13
248,0.2,32,100,1,0.2,selu,normal,,0.5803332360854485,0.0,1110.466715812683,13
249,0.2,32,100,1,0.4,selu,zero,,0.6117896852410126,0.23572594127662025,894.0791780948639,13
250,0.2,32,100,1,0.4,selu,uniform,,0.5803332360854485,0.0,842.8236584663391,13
251,0.2,32,100,1,0.4,selu,normal,,0.5803332360854485,0.0,1023.4589293003082,13
252,0.2,32,100,2,0,selu,zero,,0.6117896852410126,0.23572594127662025,1152.9424996376038,13
253,0.2,32,100,2,0,selu,uniform,,0.5803332360854485,0.0,1234.962886095047,13
254,0.2,32,100,2,0,selu,normal,,0.5803332360854485,0.0,1172.3976483345032,13
255,0.2,32,100,2,0.2,selu,zero,,0.6117896852410126,0.23572594127662025,1296.9079542160034,13
256,0.2,32,100,2,0.2,selu,uniform,,0.5803332360854485,0.0,979.3955810070038,13
257,0.2,32,100,2,0.2,selu,normal,,0.5803332360854485,0.0,1127.5348477363586,13
258,0.2,32,100,2,0.4,selu,zero,,0.6117896852410126,0.23572594127662025,1225.6410591602325,13
259,0.2,32,100,2,0.4,selu,uniform,,0.5803332360854485,0.0,1323.797374010086,13
260,0.2,32,100,2,0.4,selu,normal,,0.5803332360854485,0.0,1216.6901471614838,13
261,0.2,32,100,3,0,selu,zero,,0.6117896852410126,0.23572594127662025,1329.0487072467804,13
262,0.2,32,100,3,0,selu,uniform,,0.5803332360854485,0.0,1039.593471288681,13
263,0.2,32,100,3,0,selu,normal,,0.5803332360854485,0.0,1189.7368969917297,13
264,0.2,32,100,3,0.2,selu,zero,,0.6117896852410126,0.23572594127662025,1442.3376441001892,13
265,0.2,32,100,3,0.2,selu,uniform,,0.5803332360854485,0.0,1494.303776025772,13
266,0.2,32,100,3,0.2,selu,normal,,0.5803332360854485,0.0,1508.5217518806458,13
